Description,Designator,Footprint,K3 No.,Value,Quantity
,,,,,
"CAP,CER,100nF,10%,50V,X7R,0603","C1, C5, C6, C16, C19, C33, C36, C39, C65, C66, C72, C75, C86, C92, C106, C111, C114, C115, C152, C175, C176, C180, C181, C182",0603-C,1.1.1.01.02.025GJ,100nF,24
"CAP,CER,1nF,5%,50V,C0G,0603","C2, C8, C12, C15, C20, C30, C97",0603-C,1.1.1.01.02.003,1nF,7
"CAP,CER,10nF,10%,50V,X7R,0603","C3, C4, C7, C13, C23, C32, C54, C61, C130, C171",0603-C,1.1.1.01.02.002,10nF,10
"CAP,CER,100nF,10%,16V,X7R,0402","C9, C26, C27, C28, C41, C43, C48, C49, C50, C52, C77, C78, C80, C91, C100, C102, C103, C105, C107, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C128, C129, C132, C142, C155, C157, C159, C161, C162, C165, C195, C198, C200, C310, C312, C313, C1701, C1702, C1703, C1704, C2143",0402-C,1.1.1.01.02.168,100nF,50
"CAP,ELEC,47uF,20%,50V,D6*L7","C10, C18, C35",CAPAE-6*6,1.1.1.01.02.070,47uF,3
"CAP,CER,4.7uF,10%,50V,X7R,1206","C11, C87, C88, C89",1206-C,1.1.1.01.02.059,4.7uF,4
,C14,0603-C,,DNP,1
"CAP,CER,100pF,10%,16V,X7R,0603",C17,0603-C,1.1.1.01.02.035FH,100pF,1
"CAP,CER,1uF,10%,50V,X7R,0603",C21,0603-C,1.1.1.01.02.235,1uF,1
"CAP,CER,10uF,10%,50V,X7R,1206","C22, C47, C73, C149, C153, C177, C178, C179, C184, C193, C197",0805-C,1.1.1.01.02.243,10uF,11
"CAP,CER,10nF,10%,50V,X7R,0603","C24, C25, C85",0402-C,1.1.1.01.02.133,DNP,3
"CAP,CER,2.2uF,10%,16V,X7R,0402","C29, C101, C104, C126, C127, C158, C160, C168, C199, C202, C203, C2134, C2135, C2136, C2137, C2138",0402-C,1.1.1.01.02.187,2.2uF,16
"CAP,CER,10nF,10%,100V,X7R,0805","C31, C45, C60, C98, C151",0805-C,1.1.1.01.02.048GJ,10nF,5
"CAP,CER,22pF,5%,50V,NPO,0402",C34,0402-C,1.1.1.01.02.130,22pF,1
"CAP,CER,10uF,10%,50V,X7R,1206","C37, C38, C53, C79, C90, C93, C94, C95",1206-C,1.1.1.01.02.171,10uF,8
"CAP CER,1uF,10%,16V,X5R,0402",C40,0402-C,1.1.1.01.02.139,1uF,1
"CAP,CER,10uF,20%,6.3V,X5R,0402",C42,0402-C,1.1.1.01.02.204,10uF,1
"CAP,CER,1uF,10%,10V,X5R,0402","C44, C46, C51, C141, C2122, C2126, C2128",0402-C,1.1.1.01.02.169,1uF,7
"CAP CER,100pF,5%,100V,COG,0603","C55, C58",0603-C,1.1.1.01.02.115,100pF,2
"CAP,CER,4.7nF,10%,50V,X7R,0603",C56,0603-C,1.1.1.01.02.027,4.7nF,1
"CAP,CER,100nF,10%,50V,X5R,0402","C57, C59, C133, C2139",0402-C,1.1.1.01.02.119,100nF,4
"CAP,CER,100nF,10%,100V,X7R,0805","C62, C63, C64",0805-C,1.1.1.01.02.014-SX,100nF,3
"CAP,ELEC,220uF,20%,50V,D10*L10",C67,CAPAE-10*10,1.6.1.01.003.004,220uF,1
"CAP,CER,10uF,20%,10V,X5R,0603","C68, C69, C70, C71, C74, C2104, C3001, C3002, C3019, C3020",0603-C,1.1.1.01.02.164,10uF,10
"CAP,CER,22uF,10%,25V,X7R,0805",C76,0805-C,1.1.1.01.02.154,22uF,1
"CAP,CER,2.2uF,10%,50V,X7R,0805","C81, C82, C83, C84, C190, C194, C201, C204, C205, C206, C207",0805-C,1.1.1.01.02.158,2.2uF,11
"CAP,CER,1nF,10%,100V,X7R,0805",C96,0805-C,1.1.1.01.02.053-SX,1nF,1
"cap,22.00uF,+/-20%,6.3V,X5R,C0603","C99, C109",0603-C,1.1.1.01.02.163,22uF DNP,2
"CAP,CER,22uF,20%,6.3V,X5R,0603","C108, C110, C1000, C1008, C2103, C2108, C2114, C2116, C2124, C2125",0603-C,1.1.1.01.02.163,22uF,10
"CAP,CER,1nF,5%,50V,C0G,0603","C112, C113, C174",0603-C,1.1.1.01.02.003,1nF DNP,3
"CAP,CER,1nF,5%,50V,NPO,0402","C131, C140, C3014, C3015, C3016, C3017, C3018",0402-C,1.1.1.01.02.132,1nF,7
"CAP,CER,18pF,1%,25V,X5R,0603","C134, C135",0603-C,1.1.1.01.02.175,18pF,2
"cap,100.00nF,+/-10%,6.3V,X5R,C0402","C136, C138, C139, C145, C146, C147, C148, C150, C1002, C1003, C1004, C1005, C1006, C1010, C1011, C1012, C1013, C1014, C1201, C1202, C1203, C1204, C1205",0402-C,1.1.1.01.02.168,,23
Did Not Place.,C137,0402-C,,,1
"cap,4.70uF,+/-10%,6.3V,X5R,C0402","C143, C144, C169, C170, C1001, C1007, C1200, C4101, C4104",0402-C,1.1.1.01.02.215,,9
"CAP,CER,4.7uF,10%,10V,X5R,0603","C154, C156",0603-C,1.1.1.01.02.162,4.7uF,2
"CAP,CER,33nF,10%,50V,X7R,0402","C163, C164, C166, C167",0402-C,1.1.1.01.02.177,33nF,4
"CAP,CER,10nF,10%,50V,X7R,0603",C172,0603-C,1.1.1.01.02.002,10nF DNP,1
"CAP,CER,10nF,10%,50V,X7R,0603",C173,0603-C,1.1.1.01.02.002,10nF DNP,1
"CAP,CER,470pF,10%,16V,X7R,0402",C183,0402-C,1.1.1.01.02.231,470pF,1
"CAP,CER,1uF,10%,50V,X7R,0805","C185, C188, C191",0805-C,1.1.1.01.02.032,1uF,3
0805-4.7uF-50V(CL21A475KBQNNNE),"C186, C192",0805-C,1.1.1.01.02.060-SX,4.7uF,2
"CAP,CER,1uF,10%,50V,X7R,0603","C187, C189",0603-C,1.1.1.01.02.235,1uF,2
"CAP,CER,2.2uF,10%,25V,X7R,0805",C196,0805-C,1.1.1.01.02.116,2.2uF,1
"CAP,CER,2.2uF,10%,50V,X7R,0805","C208, C209, C210, C211, C212",0603-C,1.1.1.01.02.174,2.2uF,5
"CAP,CER,10pF,10%,16V,X7R,0402","C281, C282, C2130, C2132",0402-C,1.1.1.01.02.186,10pF,4
"CAP,CER,10nF,10%,50V,X7R,0402","C283, C3012, C3013",0402-C,1.1.1.01.02.133,10nF,3
"cap,100.00nF,+/-10%,6.3V,X5R,C0402","C1100, C1103, C1104, C1105, C1106, C1107, C1108, C1300, C1400, C1401, C1402, C1500, C1601, C1602, C1800, C1801, C1802, C2141, C4102, C4103, C4105, C4107, C4108",0402-C,1.1.1.01.02.168,100nF,23
"CAP,CER,18pF,10%,16V,X7R,0402","C1101, C1102",0402-C,1.1.1.01.02.198,18pF,2
"cap,1.00uF,+/-10%,6.3V,X5R,C0402","C2100, C2102, C2105, C2106, C2109, C2111, C2112, C2113, C2117, C2118, C2119, C2120, C2121, C2123, C4100",0402-C,1.1.1.01.02.169,1uF,15
0603-10uF ±10% 10V,"C2107, C2115",0603-C,1.1.1.01.02.241,10uF,2
"cap,100.00pF,+/-10%,50V,C0G,C0402",C3000,0402-C,1.1.1.01.02.152,,1
"CAP,CER,100nF,10%,16V,X7R,0402","C3003, C3004, C3005, C3006, C3007, C3008, C3009, C3010, C3011, C3021, C3022, C3023, C3024, C3025, C3026, C3027",0402-C,1.1.1.01.02.168,,16
"D,SCH,3A,100V,1,DO-214AA(HSMB)",D1,DIOC-5.2*2.6,1.1.1.01.03.053,SK310B,1
"D,SW,1,200mA,250V,1,SOD323/HIGH-VOLTAGE","D2, D6, D7, D10, D11, D13, D14",SOD-2.5*0.95,1.1.1.01.05.113,BAS21HT1G,7
贴片二极管 BAV99 250MW/100V (S0T-23),"D3, D15",SOT-23,1.6.1.01.004.004,BAV99,2
"D,SW,1,100mA,25V,1X2DFN-2P/HIGH-SPEED",D4,X2DFN-2,1.1.1.01.03.112,SM0130MB,1
"D,RECT,1A,1000V,1,SMA-W",D5,DIOC-5.2*2.6,1.1.1.01.03.013A,M7-01-W001,1
"D,RECT,3A,1000V,1，DO-214AB(SMC)","D8, D9",DIOC-8*6,1.1.1.01.03.102,SS36,2
"D,SCH,3A,100V,1,DO-214AA(HSMB)",D12,DIOC-5.2*2.6,1.1.1.01.03.053A,SK310B,1
